time,depth,tiltX,tiltY,scale,shapeX,shapeY,waveAmp,waveFreq,horizAmp,vertAmp,offsetX,offsetY,blurRadius,edgeIntensity,temporalStrength,temporalDecay
0,0,0,0,1,1,1,0,0,1,1,0,0,4,1.1,0.1,0.9
6000,8,-128,146,0.7,-1,4,-20,8,1.2,1.5,0,0,4,1.1,0.1,0.9
12000,0,0,0,1,1,1,0,0,1,1,0,0,4,1.1,0.1,0.9
18000,-7,77,73,1.2,11,-3,-8,3,1.3,1.4,0,0,4,1.1,0.1,0.9
24000,0,0,0,1,1,1,0,0,1,1,0,0,4,1.1,0.1,0.9
30000,45,42,99,1.2,11,-15,19,10,1,0.8,0,0,4,1.1,0.1,0.9
36000,0,0,0,1,1,1,0,0,1,1,0,0,4,1.1,0.1,0.9
42000,-59,135,35,0.7,4,3,-11,-11,1.1,0.8,0,0,4,1.1,0.1,0.9
48000,-33,-88,98,0.5,1,2,2,-17,0.9,1.3,0,0,4,1.1,0.1,0.9
54000,0,0,0,1,1,1,0,0,1,1,0,0,4,1.1,0.1,0.9
60000,22,-26,51,0.5,15,-12,18,-3,0.8,0.8,0,0,4,1.1,0.1,0.9
66000,0,0,0,1,1,1,0,0,1,1,0,0,4,1.1,0.1,0.9
72000,-8,-52,170,1,0,-11,3,6,0.9,1.2,0,0,4,1.1,0.1,0.9
78000,-69,-53,125,0.6,-8,-4,-7,8,1.2,1.5,0,0,4,1.1,0.1,0.9
84000,-63,4,87,0.4,-1,-4,-14,-9,1.1,0.9,0,0,4,1.1,0.1,0.9
90000,0,0,0,1,1,1,0,0,1,1,0,0,4,1.1,0.1,0.9
96000,68,156,29,0.9,-3,-13,8,-9,0.8,1.5,0,0,4,1.1,0.1,0.9
102000,79,13,60,0.7,4,-3,20,-5,1.1,1.3,0,0,4,1.1,0.1,0.9
108000,50,-65,87,1.1,9,6,-10,2,1,1.3,0,0,4,1.1,0.1,0.9
114000,-72,27,7,0.9,12,-15,-3,-13,0.8,1,0,0,4,1.1,0.1,0.9
120000,5,163,2,1.3,-11,-14,1,0,1.5,0.8,0,0,4,1.1,0.1,0.9
126000,-80,174,32,1.1,-9,4,11,6,1.3,1.1,0,0,4,1.1,0.1,0.9
132000,9,76,28,1.3,8,-1,-14,9,1,1.4,0,0,4,1.1,0.1,0.9
138000,-39,-133,21,0.6,1,8,10,12,1.4,1.3,0,0,4,1.1,0.1,0.9
144000,-27,-84,131,0.7,8,7,3,-7,1.4,0.8,0,0,4,1.1,0.1,0.9
150000,-26,-142,59,0.6,-15,1,-14,-11,1.5,1.5,0,0,4,1.1,0.1,0.9
156000,-7,55,165,0.6,-9,13,-5,3,1.4,0.8,0,0,4,1.1,0.1,0.9
162000,15,61,72,0.4,1,12,-8,-8,0.9,1.1,0,0,4,1.1,0.1,0.9
168000,0,0,0,1,1,1,0,0,1,1,0,0,4,1.1,0.1,0.9
